Transaction ID,Customer ID,Transaction Amount,Transaction Date,Complaint Description,Dispute Category
TXN63483692,CUST780776,143.88,2023-01-04,I paid 143.88 for an online purchase but the package was never delivered. The tracking shows it was lost in transit.,Product/Service Not Received
TXN35581354,CUST609231,1847.93,2023-01-04,"The item I ordered for 1,847.93 was described as new but arrived clearly used and in poor condition.",Defective Product/Service
TXN99476652,CUST336574,44.77,2023-01-04,My bill was 44.77 but the merchant processed a higher amount. I have photographic evidence of the original bill.,Wrong Amount
TXN48931830,CUST559023,89.72,2023-01-05,The product costing 89.72 arrived with missing parts and the merchant wants me to pay extra for replacements.,Defective Product/Service
TXN54137966,CUST334053,1642.05,2023-01-05,"I did not authorize a charge of 1,642.05 on 2023-01-05. I have never used this merchant before and suspect my card was compromised.",Unauthorized Transaction
TXN92802973,CUST831380,1158.79,2023-01-05,"I received two identical receipts and two charges of 1,158.79 for a single order I placed online.",Duplicate Charge
TXN54381572,CUST309144,57.94,2023-01-05,An unauthorized payment of 57.94 appeared on my statement. I have never visited this merchant or authorized any payment to them.,Unauthorized Transaction
TXN31014788,CUST910075,333.49,2023-01-05,I was double-charged 333.49 for a subscription renewal. The service should only bill once per month.,Duplicate Charge
TXN90861860,CUST360289,389.5,2023-01-05,I received an alert about a 389.50 charge that I never made. I believe my card number was skimmed at a gas station.,Unauthorized Transaction
TXN96590200,CUST845957,1040.21,2023-01-05,"Someone used my card information to make a purchase of 1,040.21. I need this reversed and a new card issued immediately.",Unauthorized Transaction
TXN15251418,CUST412999,228.44,2023-01-05,My card was used without authorization for a transaction of 228.44. I suspect a data breach at a merchant I previously used.,Unauthorized Transaction
TXN98998273,CUST172518,995.02,2023-01-05,I downgraded my plan but was still charged the old rate of 995.02 instead of the reduced amount.,Subscription Issue
TXN46748030,CUST795205,35.59,2023-01-05,A payment of 35.59 was processed on my account that I have no recollection of authorizing. Please block further transactions.,Unauthorized Transaction
TXN13458795,CUST720644,63.36,2023-01-05,My account was charged 63.36 without my consent. I believe someone has stolen my card details and made this purchase.,Unauthorized Transaction
TXN40327939,CUST329344,104.73,2023-01-05,The item I purchased for 104.73 is completely different from what was advertised. I want a full refund.,Defective Product/Service
TXN10129023,CUST856086,373.8,2023-01-06,My card was charged 373.80 three times for a single transaction. I need the extra charges refunded.,Duplicate Charge
TXN97196558,CUST826420,64.34,2023-01-06,The merchant charged my card 64.34 two times for one order. I have the receipt showing only one transaction.,Duplicate Charge
TXN15617872,CUST735863,447.3,2023-01-06,The item I purchased for 447.30 is completely different from what was advertised. I want a full refund.,Defective Product/Service
TXN72466393,CUST945664,2154.02,2023-01-06,"I paid 2,154.02 for an online purchase but the package was never delivered. The tracking shows it was lost in transit.",Product/Service Not Received
TXN69417636,CUST947903,1694.93,2023-01-06,"I cancelled a subscription and was told I would receive a prorated refund of 1,694.93 but nothing has come through.",Refund Not Processed
TXN99290821,CUST748133,137.86,2023-01-06,I withdrew 137.86 from an ATM but received less cash than the debited amount. The machine malfunctioned.,ATM Dispute
TXN56658526,CUST701800,31.83,2023-01-07,My card was used without authorization for a transaction of 31.83. I suspect a data breach at a merchant I previously used.,Unauthorized Transaction
TXN31067861,CUST358421,1100.09,2023-01-07,"I was charged 1,100.09 for a product that the merchant claims was shipped but I never received. No proof of delivery exists.",Product/Service Not Received
TXN90003444,CUST969634,4723.81,2023-01-07,"I cancelled my free trial before it ended but was charged 4,723.81 for the full subscription anyway.",Subscription Issue
TXN83076798,CUST809217,441.23,2023-01-07,I received an alert about a 441.23 charge that I never made. I believe my card number was skimmed at a gas station.,Unauthorized Transaction
TXN23646357,CUST386488,1193.78,2023-01-07,"My account shows a recurring charge of 1,193.78 from a merchant I do not recognize. I never subscribed to any service.",Subscription Issue
TXN99294689,CUST608136,45.62,2023-01-07,"I was charged 45.62 for a service that was never provided. Despite multiple follow-ups, the vendor has not delivered.",Product/Service Not Received
TXN49708240,CUST644173,27.25,2023-01-07,The merchant agreed to refund 27.25 over three weeks ago but I still have not received the money back.,Refund Not Processed
TXN83774469,CUST149161,58.19,2023-01-08,My account was debited 58.19 but the receipt shows a different amount. The merchant made a billing error.,Wrong Amount
TXN36724504,CUST109909,25.38,2023-01-08,I paid 25.38 for an order on 2023-01-08 but never received the product. The merchant is unresponsive to my emails.,Product/Service Not Received
TXN87053633,CUST379676,53.25,2023-01-08,I was billed 53.25 for a digital download that I never received the link for. The merchant website is now offline.,Product/Service Not Received
TXN66155232,CUST878086,154.28,2023-01-08,I paid 154.28 for an online purchase but the package was never delivered. The tracking shows it was lost in transit.,Product/Service Not Received
TXN76648409,CUST254506,412.53,2023-01-08,There is an unrecognized charge of 412.53 on my account dated 2023-01-08. I did not approve this and want it disputed.,Unauthorized Transaction
TXN29748739,CUST525818,36.65,2023-01-08,I found a fraudulent charge of 36.65 on my account from a merchant I have never heard of. Please investigate and refund.,Unauthorized Transaction
TXN21032632,CUST677124,279.01,2023-01-08,"I was charged 279.01 for a service that was never provided. Despite multiple follow-ups, the vendor has not delivered.",Product/Service Not Received
TXN35865819,CUST486814,34.16,2023-01-08,The item I ordered for 34.16 was described as new but arrived clearly used and in poor condition.,Defective Product/Service
TXN99004832,CUST543814,49.91,2023-01-09,I was billed 49.91 for a digital download that I never received the link for. The merchant website is now offline.,Product/Service Not Received
TXN25016273,CUST479430,127.94,2023-01-09,A merchant processed my payment of 127.94 multiple times due to a system error. I need all duplicate charges reversed.,Duplicate Charge
TXN26709159,CUST180458,123.33,2023-01-09,The product costing 123.33 arrived with missing parts and the merchant wants me to pay extra for replacements.,Defective Product/Service
TXN13647117,CUST238739,79.87,2023-01-09,My account was charged 79.87 without my consent. I believe someone has stolen my card details and made this purchase.,Unauthorized Transaction
TXN35786464,CUST265759,1458.17,2023-01-09,"I purchased an item for a specific price but was charged 1,458.17 which is higher than the listed price.",Wrong Amount
TXN16865176,CUST140804,1352.71,2023-01-09,"I placed an order worth 1,352.71 on 2023-01-09 and the merchant confirmed it but nothing has been delivered so far.",Product/Service Not Received
TXN48021653,CUST196126,102.91,2023-01-09,I was charged 102.91 for an ATM withdrawal but the machine only dispensed a partial amount.,ATM Dispute
TXN27305539,CUST746467,14.25,2023-01-09,My card was charged 14.25 three times for a single transaction. I need the extra charges refunded.,Duplicate Charge
TXN15160710,CUST147489,45.55,2023-01-09,A service is debiting 45.55 from my account every month even though I closed my account with them.,Subscription Issue
TXN94180238,CUST903265,304.36,2023-01-10,My account was debited 304.36 for goods that were supposed to arrive two weeks ago. I still have not received anything.,Product/Service Not Received
TXN62427912,CUST502810,57.87,2023-01-10,An unauthorized payment of 57.87 appeared on my statement. I have never visited this merchant or authorized any payment to them.,Unauthorized Transaction
TXN61386266,CUST260422,92.76,2023-01-10,The ATM ate my card and deducted 92.76 without dispensing any cash. I reported this to the bank branch immediately.,ATM Dispute
TXN52242651,CUST207570,476.63,2023-01-10,I did not authorize a charge of 476.63 on 2023-01-10. I have never used this merchant before and suspect my card was compromised.,Unauthorized Transaction
TXN64877536,CUST882033,41.67,2023-01-10,I have been charged 41.67 for a recurring payment that I explicitly cancelled via the merchant app on 2023-01-10.,Subscription Issue
TXN25738828,CUST354235,7.29,2023-01-10,I was overcharged by the merchant. The correct amount should have been lower but 7.29 was taken from my account.,Wrong Amount
TXN96862317,CUST557925,6946.36,2023-01-10,"I am being charged 6,946.36 monthly for a service I cancelled three months ago. Please stop these recurring payments.",Subscription Issue
TXN24946716,CUST656837,1237.91,2023-01-10,"I have a written confirmation from the merchant that 1,237.91 would be refunded but my account still shows the charge.",Refund Not Processed
TXN24259267,CUST126925,24.14,2023-01-10,I was charged 24.14 for an ATM withdrawal but the machine only dispensed a partial amount.,ATM Dispute
TXN61861831,CUST651613,156.39,2023-01-10,I am being charged 156.39 monthly for a service I cancelled three months ago. Please stop these recurring payments.,Subscription Issue
TXN13875107,CUST138551,3369.19,2023-01-10,"The service I paid 3,369.19 for was not performed as agreed. The quality was far below what was promised.",Defective Product/Service
TXN62622836,CUST297816,1253.43,2023-01-10,"I was billed 1,253.43 for a service upgrade I never requested or agreed to.",Merchant Billing Error
TXN26678492,CUST212214,129.4,2023-01-11,I see a duplicate debit of 129.40 on my statement for the same purchase. I have contacted the merchant but they have not responded.,Duplicate Charge
TXN35884060,CUST955662,258.91,2023-01-11,I placed an order worth 258.91 on 2023-01-11 and the merchant confirmed it but nothing has been delivered so far.,Product/Service Not Received
TXN66690864,CUST221761,1832.39,2023-01-11,"The restaurant charged 1,832.39 to my card but I paid the bill in cash. I have the cash receipt as proof.",Merchant Billing Error
TXN84385976,CUST666211,40.61,2023-01-11,A subscription I never signed up for is charging my account 40.61 every month. I need all charges reversed.,Subscription Issue
TXN11432428,CUST540552,128.91,2023-01-12,I was charged 128.91 for a product that the merchant claims was shipped but I never received. No proof of delivery exists.,Product/Service Not Received
TXN22568973,CUST497382,2666.59,2023-01-12,"I was charged 2,666.59 for a premium service but received the basic version. The merchant will not upgrade or refund.",Defective Product/Service
TXN12909870,CUST290305,70.72,2023-01-12,I was charged 70.72 for a late fee that is not justified as I made my payment on time.,Merchant Billing Error
TXN64917268,CUST177333,921.38,2023-01-12,The merchant took 921.38 from my account for a pre-order but has gone silent and the product was never shipped.,Product/Service Not Received
TXN31679918,CUST691912,31.18,2023-01-12,My account shows a recurring charge of 31.18 from a merchant I do not recognize. I never subscribed to any service.,Subscription Issue
TXN57909221,CUST557007,75.23,2023-01-12,I paid 75.23 for a product that does not match the specifications listed on the merchant website at all.,Defective Product/Service
TXN43745187,CUST885386,85.75,2023-01-13,There is a fraudulent transaction of 85.75 on my account. I did not make this purchase and my card was in my possession the entire time.,Unauthorized Transaction
TXN10868817,CUST440544,5.93,2023-01-13,An ATM transaction of 5.93 failed midway but the full amount was deducted from my account.,ATM Dispute
TXN69192391,CUST723939,1385.9,2023-01-13,"My card was used without authorization for a transaction of 1,385.90. I suspect a data breach at a merchant I previously used.",Unauthorized Transaction
TXN27638966,CUST107540,46.3,2023-01-13,An unauthorized payment of 46.30 appeared on my statement. I have never visited this merchant or authorized any payment to them.,Unauthorized Transaction
TXN98512648,CUST325583,116.29,2023-01-14,My card was used without authorization for a transaction of 116.29. I suspect a data breach at a merchant I previously used.,Unauthorized Transaction
TXN47189249,CUST425301,39.08,2023-01-14,I used an ATM to withdraw 39.08 but the cash got stuck in the dispenser and I could not retrieve it.,ATM Dispute
TXN91105461,CUST162036,30.82,2023-01-14,I was charged 30.82 but the agreed price was much lower. The merchant overcharged me and I have the original receipt.,Wrong Amount
TXN56244761,CUST878480,1177.56,2023-01-14,"The airline cancelled my flight and promised a refund of 1,177.56 but it has not been reflected in my account.",Refund Not Processed
TXN64847632,CUST836996,36.91,2023-01-15,"I was charged 36.91 for a service that was never provided. Despite multiple follow-ups, the vendor has not delivered.",Product/Service Not Received
TXN36867851,CUST762423,42.85,2023-01-15,I was billed 42.85 for a digital download that I never received the link for. The merchant website is now offline.,Product/Service Not Received
TXN58917187,CUST632342,371.43,2023-01-15,The charge of 371.43 does not match my receipt. I believe there was a currency conversion error on this transaction.,Wrong Amount
TXN56715435,CUST176066,364.27,2023-01-15,I was charged 364.27 but the agreed price was much lower. The merchant overcharged me and I have the original receipt.,Wrong Amount
TXN73549550,CUST930541,223.76,2023-01-15,I paid 223.76 for an order on 2023-01-15 but never received the product. The merchant is unresponsive to my emails.,Product/Service Not Received
TXN46973438,CUST351997,85.42,2023-01-15,I was charged 85.42 but the agreed price was much lower. The merchant overcharged me and I have the original receipt.,Wrong Amount
TXN17557312,CUST519093,338.29,2023-01-15,The merchant charged my card 338.29 two times for one order. I have the receipt showing only one transaction.,Duplicate Charge
TXN13114394,CUST930555,79.32,2023-01-15,The item I ordered for 79.32 was described as new but arrived clearly used and in poor condition.,Defective Product/Service
TXN48360321,CUST832168,1823.51,2023-01-15,"The product worth 1,823.51 stopped working within 2 days of purchase. The merchant denied my warranty claim.",Defective Product/Service
TXN85100644,CUST883618,406.53,2023-01-15,My account was debited 406.53 for goods that were supposed to arrive two weeks ago. I still have not received anything.,Product/Service Not Received
TXN99198449,CUST922543,100.82,2023-01-16,I was billed 100.82 for a service upgrade I never requested or agreed to.,Merchant Billing Error
TXN53976954,CUST986365,106.85,2023-01-16,There is an unrecognized charge of 106.85 on my account dated 2023-01-16. I did not approve this and want it disputed.,Unauthorized Transaction
TXN24691650,CUST762652,46.75,2023-01-16,A merchant processed my payment of 46.75 multiple times due to a system error. I need all duplicate charges reversed.,Duplicate Charge
TXN68401251,CUST526117,75.29,2023-01-16,I was charged 75.29 for a hotel reservation that I cancelled within the free cancellation window.,Merchant Billing Error
TXN66157110,CUST932463,11.63,2023-01-16,I placed an order worth 11.63 on 2023-01-16 and the merchant confirmed it but nothing has been delivered so far.,Product/Service Not Received
TXN57889564,CUST940064,292.76,2023-01-16,I noticed an unauthorized debit of 292.76 from my account. I have no knowledge of this transaction and request an immediate reversal.,Unauthorized Transaction
TXN49880409,CUST688956,37.97,2023-01-16,My account shows a recurring charge of 37.97 from a merchant I do not recognize. I never subscribed to any service.,Subscription Issue
TXN78391115,CUST879779,48.04,2023-01-16,I attempted to withdraw 48.04 from an ATM. The machine gave an error but the money was deducted from my balance.,ATM Dispute
TXN87594236,CUST632929,17.91,2023-01-16,My card was used without authorization for a transaction of 17.91. I suspect a data breach at a merchant I previously used.,Unauthorized Transaction
TXN35348049,CUST355836,459.89,2023-01-16,A payment of 459.89 was processed on my account that I have no recollection of authorizing. Please block further transactions.,Unauthorized Transaction
TXN81794497,CUST877259,24.91,2023-01-17,A service is debiting 24.91 from my account every month even though I closed my account with them.,Subscription Issue
TXN50845544,CUST935457,472.77,2023-01-17,The airline cancelled my flight and promised a refund of 472.77 but it has not been reflected in my account.,Refund Not Processed
TXN98735423,CUST388519,553.46,2023-01-17,There is an unrecognized charge of 553.46 on my account dated 2023-01-17. I did not approve this and want it disputed.,Unauthorized Transaction
TXN53268043,CUST862847,21.15,2023-01-17,I found a fraudulent charge of 21.15 on my account from a merchant I have never heard of. Please investigate and refund.,Unauthorized Transaction
TXN34727844,CUST415759,687.34,2023-01-17,The merchant charged my card 687.34 two times for one order. I have the receipt showing only one transaction.,Duplicate Charge
TXN52522212,CUST185884,44.37,2023-01-17,I received two identical receipts and two charges of 44.37 for a single order I placed online.,Duplicate Charge
TXN46123349,CUST769567,159.93,2023-01-17,My account was charged 159.93 without my consent. I believe someone has stolen my card details and made this purchase.,Unauthorized Transaction
TXN91708881,CUST364742,1881.75,2023-01-17,"An unauthorized payment of 1,881.75 appeared on my statement. I have never visited this merchant or authorized any payment to them.",Unauthorized Transaction
TXN64130352,CUST847006,114.02,2023-01-17,The ATM did not dispense cash but my account was debited 114.02. I need this amount credited back immediately.,ATM Dispute
TXN46637295,CUST983472,702.68,2023-01-17,I paid 702.68 for a subscription service but never received access. The company has not responded to my support tickets.,Product/Service Not Received
TXN54598799,CUST123005,26.25,2023-01-17,A subscription I never signed up for is charging my account 26.25 every month. I need all charges reversed.,Subscription Issue
TXN97018190,CUST243693,357.41,2023-01-17,There is an unrecognized charge of 357.41 on my account dated 2023-01-17. I did not approve this and want it disputed.,Unauthorized Transaction
TXN15251274,CUST916990,502.41,2023-01-17,I placed an order worth 502.41 on 2023-01-17 and the merchant confirmed it but nothing has been delivered so far.,Product/Service Not Received
TXN40882998,CUST539605,77.41,2023-01-17,My account was charged 77.41 without my consent. I believe someone has stolen my card details and made this purchase.,Unauthorized Transaction
TXN60516391,CUST170559,316.03,2023-01-18,Someone used my card information to make a purchase of 316.03. I need this reversed and a new card issued immediately.,Unauthorized Transaction
TXN39039588,CUST988456,530.42,2023-01-18,The product costing 530.42 arrived with missing parts and the merchant wants me to pay extra for replacements.,Defective Product/Service
TXN29600614,CUST203996,388.56,2023-01-18,My account shows a recurring charge of 388.56 from a merchant I do not recognize. I never subscribed to any service.,Subscription Issue
TXN41798123,CUST538997,86.19,2023-01-18,I received an alert about a 86.19 charge that I never made. I believe my card number was skimmed at a gas station.,Unauthorized Transaction
TXN82346653,CUST429164,40.08,2023-01-18,I paid 40.08 for an order on 2023-01-18 but never received the product. The merchant is unresponsive to my emails.,Product/Service Not Received
TXN62741905,CUST726928,38.14,2023-01-18,The item I ordered for 38.14 was described as new but arrived clearly used and in poor condition.,Defective Product/Service
TXN43305488,CUST491329,3516.47,2023-01-18,"A merchant processed my payment of 3,516.47 multiple times due to a system error. I need all duplicate charges reversed.",Duplicate Charge
TXN37746963,CUST889359,353.99,2023-01-19,I paid 353.99 for an online purchase but the package was never delivered. The tracking shows it was lost in transit.,Product/Service Not Received
TXN38154362,CUST121369,793.49,2023-01-19,I received two identical receipts and two charges of 793.49 for a single order I placed online.,Duplicate Charge
TXN28697002,CUST743378,1187.53,2023-01-19,"I was charged 1,187.53 for a gym membership cancellation fee that was not mentioned in the original contract.",Merchant Billing Error
TXN90845239,CUST962050,388.49,2023-01-19,The merchant issued a refund receipt for 388.49 on 2023-01-19 but the amount never appeared in my account.,Refund Not Processed
TXN14198813,CUST607699,40.08,2023-01-19,The ATM did not dispense cash but my account was debited 40.08. I need this amount credited back immediately.,ATM Dispute
TXN52376656,CUST974190,3549.52,2023-01-20,"I purchased an item for 3,549.52 but received a counterfeit product. The merchant refuses to acknowledge the issue.",Defective Product/Service
TXN29574814,CUST700521,2448.65,2023-01-20,"I found a fraudulent charge of 2,448.65 on my account from a merchant I have never heard of. Please investigate and refund.",Unauthorized Transaction
TXN96764149,CUST792764,26.44,2023-01-20,I was charged 26.44 for a premium service but received the basic version. The merchant will not upgrade or refund.,Defective Product/Service
TXN45924244,CUST634150,3798.92,2023-01-20,"I was charged 3,798.92 for a hotel reservation that I cancelled within the free cancellation window.",Merchant Billing Error
TXN31401790,CUST590094,159.38,2023-01-20,The merchant took 159.38 from my account for a pre-order but has gone silent and the product was never shipped.,Product/Service Not Received
TXN41865362,CUST851759,12189.93,2023-01-20,"My account shows a recurring charge of 12,189.93 from a merchant I do not recognize. I never subscribed to any service.",Subscription Issue
TXN20071683,CUST158655,1055.71,2023-01-20,"Someone used my card information to make a purchase of 1,055.71. I need this reversed and a new card issued immediately.",Unauthorized Transaction
TXN28193030,CUST232352,419.13,2023-01-20,My account was debited 419.13 for goods that were supposed to arrive two weeks ago. I still have not received anything.,Product/Service Not Received
TXN45612117,CUST466566,38.45,2023-01-20,The charge of 38.45 does not match my receipt. I believe there was a currency conversion error on this transaction.,Wrong Amount
TXN76055421,CUST614426,46.75,2023-01-20,I was double-charged 46.75 for a subscription renewal. The service should only bill once per month.,Duplicate Charge
TXN28046046,CUST578634,675.42,2023-01-20,My account was debited 675.42 but the receipt shows a different amount. The merchant made a billing error.,Wrong Amount
TXN68624154,CUST667296,1355.48,2023-01-21,"I was billed 1,355.48 for a digital download that I never received the link for. The merchant website is now offline.",Product/Service Not Received
TXN68589370,CUST515973,15.44,2023-01-21,A payment of 15.44 was processed on my account that I have no recollection of authorizing. Please block further transactions.,Unauthorized Transaction
TXN63857905,CUST196168,7155.27,2023-01-21,"My account was charged 7,155.27 without my consent. I believe someone has stolen my card details and made this purchase.",Unauthorized Transaction
TXN32369436,CUST290802,441.86,2023-01-21,I made a single purchase of 441.86 but was billed twice. The duplicate charge needs to be reversed immediately.,Duplicate Charge
TXN40786648,CUST345180,420.24,2023-01-21,I was charged 420.24 for an ATM withdrawal but the machine only dispensed a partial amount.,ATM Dispute
TXN28004380,CUST534303,31.39,2023-01-21,An unauthorized payment of 31.39 appeared on my statement. I have never visited this merchant or authorized any payment to them.,Unauthorized Transaction
TXN13541289,CUST395459,1928.02,2023-01-21,"I paid 1,928.02 for a product that arrived damaged and unusable. The merchant is not responding to my return request.",Defective Product/Service
TXN58707183,CUST589710,55.69,2023-01-21,An unauthorized payment of 55.69 appeared on my statement. I have never visited this merchant or authorized any payment to them.,Unauthorized Transaction
TXN93708861,CUST171603,31.44,2023-01-21,I paid 31.44 for event tickets but the event was cancelled and no refund was issued by the organizer.,Product/Service Not Received
TXN19185243,CUST403314,380.37,2023-01-21,The charge of 380.37 does not match my receipt. I believe there was a currency conversion error on this transaction.,Wrong Amount
TXN25961469,CUST888795,7.98,2023-01-22,The merchant agreed to refund 7.98 over three weeks ago but I still have not received the money back.,Refund Not Processed
TXN22862118,CUST620306,269.94,2023-01-22,I purchased an item for a specific price but was charged 269.94 which is higher than the listed price.,Wrong Amount
TXN83990759,CUST321231,49.02,2023-01-22,I received a defective product after paying 49.02. The merchant refused my return request and will not issue a refund.,Defective Product/Service
TXN25965592,CUST232040,3984.76,2023-01-22,"I purchased an item for 3,984.76 but received a counterfeit product. The merchant refuses to acknowledge the issue.",Defective Product/Service
TXN24591250,CUST904711,61.88,2023-01-22,I noticed an unauthorized debit of 61.88 from my account. I have no knowledge of this transaction and request an immediate reversal.,Unauthorized Transaction
TXN82871716,CUST785743,296.02,2023-01-22,My card was used without authorization for a transaction of 296.02. I suspect a data breach at a merchant I previously used.,Unauthorized Transaction
TXN50183834,CUST402096,888.42,2023-01-22,I was charged 888.42 for a late fee that is not justified as I made my payment on time.,Merchant Billing Error
TXN53453317,CUST440189,47.74,2023-01-22,I did not authorize a charge of 47.74 on 2023-01-22. I have never used this merchant before and suspect my card was compromised.,Unauthorized Transaction
TXN25003693,CUST250219,12.78,2023-01-22,I cancelled a subscription and was told I would receive a prorated refund of 12.78 but nothing has come through.,Refund Not Processed
TXN10036337,CUST734356,7.25,2023-01-23,The ATM did not dispense cash but my account was debited 7.25. I need this amount credited back immediately.,ATM Dispute
TXN36308984,CUST689107,492.02,2023-01-23,The item I ordered for 492.02 was described as new but arrived clearly used and in poor condition.,Defective Product/Service
TXN11373974,CUST920685,22.05,2023-01-23,I downgraded my plan but was still charged the old rate of 22.05 instead of the reduced amount.,Subscription Issue
TXN76919658,CUST519902,1894.9,2023-01-23,"I returned a product worth 1,894.90 on 2023-01-23 but the refund has not been credited to my account yet.",Refund Not Processed
TXN64220223,CUST704201,62.7,2023-01-23,I paid 62.70 for event tickets but the event was cancelled and no refund was issued by the organizer.,Product/Service Not Received
TXN64082502,CUST926403,335.87,2023-01-23,I was charged 335.87 for a premium service but received the basic version. The merchant will not upgrade or refund.,Defective Product/Service
TXN57875659,CUST399105,115.05,2023-01-23,I cancelled my subscription but was still charged 115.05 on 2023-01-23. I have the cancellation confirmation email.,Subscription Issue
